id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJmbxVksj3EpER_10f56GiopA,https://www.google.com/maps/place/?q=place_id:ChIJmbxVksj3EpER_10f56GiopA,Pollos a la brasa La casita de leo,Restaurante,"CRV3+768, Pampa Cangallo 05846",910 418 053,+51 910 418 053,,,"-13.5568406,-74.1970736",3.5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJBQntC0d_EpERmgWUkY53ftw,https://www.google.com/maps/place/?q=place_id:ChIJBQntC0d_EpERmgWUkY53ftw,"Pollería ""El Dorado"" Terminal",Restaurante,"AA. HH. Las Rosas Manzana A Lote 06, Ayacucho 05000",976 127 378,+51 976 127 378,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Terminal-105063331203217,"-13.1346555,-74.228884",3.5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJMY-vPAt9EpERRFZjSeW-HyY,https://www.google.com/maps/place/?q=place_id:ChIJMY-vPAt9EpERRFZjSeW-HyY,Retablo - pollos a la brasa,Restaurante,"Jr. Asamblea 219, Ayacucho 05003",(066) 528453,+51 66 528453,,,"-13.1585463,-74.2248128",3.8,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJdTVCASB9EpER4-I6jyJYnfo,https://www.google.com/maps/place/?q=place_id:ChIJdTVCASB9EpER4-I6jyJYnfo,Retablo pollos a la brasa,Restaurante especializado en pollo,Ayacucho 05002,989 074 810,+51 989 074 810,polleriaretablo.pe,https://www.polleriaretablo.pe/,"-13.164233399999999,-74.223535",2,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJzX39b4f3EpERaNgWc3z4qQg,https://www.google.com/maps/place/?q=place_id:ChIJzX39b4f3EpERaNgWc3z4qQg,Polleria wallpa sua's,Restaurante,"CRV3+56Q, 30D, Pampa Cangallo 05846",,,,,"-13.557037399999999,-74.1969058",5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJQdTNP9t9EpER1Ip1k_Gujp8,https://www.google.com/maps/place/?q=place_id:ChIJQdTNP9t9EpER1Ip1k_Gujp8,POCHOLO'S CHICKEN,Pollería,"051, Ayacucho",992 490 959,+51 992 490 959,facebook.com,https://www.facebook.com/profile.php?id=100092052827995&mibextid=ZbWKwL,"-13.1454334,-74.22541749999999",4.5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJbatRhXX5EpER5PaBXLcXXp0,https://www.google.com/maps/place/?q=place_id:ChIJbatRhXX5EpER5PaBXLcXXp0,Pollería & Restaurant Aron,Restaurante,"Av. Argentina, Cangallo 05401",990 302 032,+51 990 302 032,,,"-13.6294673,-74.14392769999999",,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJeauKnoP5EpEReKodFDsJTSE,https://www.google.com/maps/place/?q=place_id:ChIJeauKnoP5EpEReKodFDsJTSE,Polleria Chifa Don Teo,Restaurante,"Av. Argentina, Cangallo 05401",,,,,"-13.628297499999999,-74.14450049999999",3.5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJ9ZaYFwd9EpER1wrBVTZ0CoQ,https://www.google.com/maps/place/?q=place_id:ChIJ9ZaYFwd9EpER1wrBVTZ0CoQ,Pollería Perlaschallay,Restaurante peruano,"Jr. Garcilazo de la Vega 588, Ayacucho 05001",999 037 474,+51 999 037 474,facebook.com,https://www.facebook.com/PerlaschallayOficial/,"-13.1551303,-74.2263792",,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJD_Yfgrd9EpERfehGSY4y0AE,https://www.google.com/maps/place/?q=place_id:ChIJD_Yfgrd9EpERfehGSY4y0AE,"El Encanto de Mar Oriental ""Especialidad Pescados & Mariscos, Comida Oriental y Pollos a la Brasa""",Restaurante,"Jr. mariscal Cáceres s/n, Cangallo 05401",974 501 034,+51 974 501 034,,,"-13.628653499999999,-74.14460129999999",,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJO7wcEhXHBZERjLBZP_jNccU,https://www.google.com/maps/place/?q=place_id:ChIJO7wcEhXHBZERjLBZP_jNccU,Wilos chicken shuls,Restaurante especializado en pollo,"A.h maria parado de bellido M DLT 4 Sct. 7, Ate 15494",943 225 583,+51 943 225 583,,,"-12.0421553,-76.918363",4.6,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJcXFBYgD5EpERdH13WkN9KrI,https://www.google.com/maps/place/?q=place_id:ChIJcXFBYgD5EpERdH13WkN9KrI,Pollería chifa de nelson,Restaurante chino,"9VC4+H2, Jirón Mariscal Andrés Avelino Cáceres Mz.Y - Lt.27, Cangallo 05401",974 501 034,+51 974 501 034,,,"-13.6285896,-74.1449671",5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJf9oC_m_3EpER8AH9gsQV7zM,https://www.google.com/maps/place/?q=place_id:ChIJf9oC_m_3EpER8AH9gsQV7zM,Pollería Apocento,Restaurante,24 de junio,993 560 899,+51 993 560 899,,,"-13.556830399999999,-74.1954397",4.7,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJmbxVksj3EpER_10f56GiopA,https://www.google.com/maps/place/?q=place_id:ChIJmbxVksj3EpER_10f56GiopA,Pollos a la brasa La casita de leo,Restaurante,"CRV3+768, Pampa Cangallo 05846",910 418 053,+51 910 418 053,,,"-13.5568406,-74.1970736",3.5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJBQntC0d_EpERmgWUkY53ftw,https://www.google.com/maps/place/?q=place_id:ChIJBQntC0d_EpERmgWUkY53ftw,"Pollería ""El Dorado"" Terminal",Restaurante,"AA. HH. Las Rosas Manzana A Lote 06, Ayacucho 05000",976 127 378,+51 976 127 378,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Terminal-105063331203217,"-13.1346555,-74.228884",3.5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJMY-vPAt9EpERRFZjSeW-HyY,https://www.google.com/maps/place/?q=place_id:ChIJMY-vPAt9EpERRFZjSeW-HyY,Retablo - pollos a la brasa,Restaurante,"Jr. Asamblea 219, Ayacucho 05003",(066) 528453,+51 66 528453,,,"-13.1585463,-74.2248128",3.8,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJdTVCASB9EpER4-I6jyJYnfo,https://www.google.com/maps/place/?q=place_id:ChIJdTVCASB9EpER4-I6jyJYnfo,Retablo pollos a la brasa,Restaurante especializado en pollo,Ayacucho 05002,989 074 810,+51 989 074 810,polleriaretablo.pe,https://www.polleriaretablo.pe/,"-13.164233399999999,-74.223535",2,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJzX39b4f3EpERaNgWc3z4qQg,https://www.google.com/maps/place/?q=place_id:ChIJzX39b4f3EpERaNgWc3z4qQg,Polleria wallpa sua's,Restaurante,"CRV3+56Q, 30D, Pampa Cangallo 05846",,,,,"-13.557037399999999,-74.1969058",5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJQdTNP9t9EpER1Ip1k_Gujp8,https://www.google.com/maps/place/?q=place_id:ChIJQdTNP9t9EpER1Ip1k_Gujp8,POCHOLO'S CHICKEN,Pollería,"051, Ayacucho",992 490 959,+51 992 490 959,facebook.com,https://www.facebook.com/profile.php?id=100092052827995&mibextid=ZbWKwL,"-13.1454334,-74.22541749999999",4.5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJbatRhXX5EpER5PaBXLcXXp0,https://www.google.com/maps/place/?q=place_id:ChIJbatRhXX5EpER5PaBXLcXXp0,Pollería & Restaurant Aron,Restaurante,"Av. Argentina, Cangallo 05401",990 302 032,+51 990 302 032,,,"-13.6294673,-74.14392769999999",,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJeauKnoP5EpEReKodFDsJTSE,https://www.google.com/maps/place/?q=place_id:ChIJeauKnoP5EpEReKodFDsJTSE,Polleria Chifa Don Teo,Restaurante,"Av. Argentina, Cangallo 05401",,,,,"-13.628297499999999,-74.14450049999999",3.5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJ9ZaYFwd9EpER1wrBVTZ0CoQ,https://www.google.com/maps/place/?q=place_id:ChIJ9ZaYFwd9EpER1wrBVTZ0CoQ,Pollería Perlaschallay,Restaurante peruano,"Jr. Garcilazo de la Vega 588, Ayacucho 05001",999 037 474,+51 999 037 474,facebook.com,https://www.facebook.com/PerlaschallayOficial/,"-13.1551303,-74.2263792",,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJD_Yfgrd9EpERfehGSY4y0AE,https://www.google.com/maps/place/?q=place_id:ChIJD_Yfgrd9EpERfehGSY4y0AE,"El Encanto de Mar Oriental ""Especialidad Pescados & Mariscos, Comida Oriental y Pollos a la Brasa""",Restaurante,"Jr. mariscal Cáceres s/n, Cangallo 05401",974 501 034,+51 974 501 034,,,"-13.628653499999999,-74.14460129999999",,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJO7wcEhXHBZERjLBZP_jNccU,https://www.google.com/maps/place/?q=place_id:ChIJO7wcEhXHBZERjLBZP_jNccU,Wilos chicken shuls,Restaurante especializado en pollo,"A.h maria parado de bellido M DLT 4 Sct. 7, Ate 15494",943 225 583,+51 943 225 583,,,"-12.0421553,-76.918363",4.6,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJcXFBYgD5EpERdH13WkN9KrI,https://www.google.com/maps/place/?q=place_id:ChIJcXFBYgD5EpERdH13WkN9KrI,Pollería chifa de nelson,Restaurante chino,"9VC4+H2, Jirón Mariscal Andrés Avelino Cáceres Mz.Y - Lt.27, Cangallo 05401",974 501 034,+51 974 501 034,,,"-13.6285896,-74.1449671",5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJf9oC_m_3EpER8AH9gsQV7zM,https://www.google.com/maps/place/?q=place_id:ChIJf9oC_m_3EpER8AH9gsQV7zM,Pollería Apocento,Restaurante,24 de junio,993 560 899,+51 993 560 899,,,"-13.556830399999999,-74.1954397",4.7,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJmbxVksj3EpER_10f56GiopA,https://www.google.com/maps/place/?q=place_id:ChIJmbxVksj3EpER_10f56GiopA,Pollos a la brasa La casita de leo,Restaurante,"CRV3+768, Pampa Cangallo 05846",910 418 053,+51 910 418 053,,,"-13.5568406,-74.1970736",3.5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJBQntC0d_EpERmgWUkY53ftw,https://www.google.com/maps/place/?q=place_id:ChIJBQntC0d_EpERmgWUkY53ftw,"Pollería ""El Dorado"" Terminal",Restaurante,"AA. HH. Las Rosas Manzana A Lote 06, Ayacucho 05000",976 127 378,+51 976 127 378,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Terminal-105063331203217,"-13.1346555,-74.228884",3.5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJMY-vPAt9EpERRFZjSeW-HyY,https://www.google.com/maps/place/?q=place_id:ChIJMY-vPAt9EpERRFZjSeW-HyY,Retablo - pollos a la brasa,Restaurante,"Jr. Asamblea 219, Ayacucho 05003",(066) 528453,+51 66 528453,,,"-13.1585463,-74.2248128",3.8,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJM6i8HUV9EpER5pXUtBdUqlI,https://www.google.com/maps/place/?q=place_id:ChIJM6i8HUV9EpER5pXUtBdUqlI,Pollería Perlaschallay,Tienda de aves de corral,"Jirón Roma 183 - Magdalena, Ayacucho 05003",999 037 474,+51 999 037 474,facebook.com,https://web.facebook.com/PerlaschallayOficial,"-13.157524599999999,-74.22014589999999",5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJdTVCASB9EpER4-I6jyJYnfo,https://www.google.com/maps/place/?q=place_id:ChIJdTVCASB9EpER4-I6jyJYnfo,Retablo pollos a la brasa,Restaurante especializado en pollo,Ayacucho 05002,989 074 810,+51 989 074 810,polleriaretablo.pe,https://www.polleriaretablo.pe/,"-13.164233399999999,-74.223535",2,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJzX39b4f3EpERaNgWc3z4qQg,https://www.google.com/maps/place/?q=place_id:ChIJzX39b4f3EpERaNgWc3z4qQg,Polleria wallpa sua's,Restaurante,"CRV3+56Q, 30D, Pampa Cangallo 05846",,,,,"-13.557037399999999,-74.1969058",5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJQdTNP9t9EpER1Ip1k_Gujp8,https://www.google.com/maps/place/?q=place_id:ChIJQdTNP9t9EpER1Ip1k_Gujp8,POCHOLO'S CHICKEN,Pollería,"051, Ayacucho",992 490 959,+51 992 490 959,facebook.com,https://www.facebook.com/profile.php?id=100092052827995&mibextid=ZbWKwL,"-13.1454334,-74.22541749999999",4.5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJbatRhXX5EpER5PaBXLcXXp0,https://www.google.com/maps/place/?q=place_id:ChIJbatRhXX5EpER5PaBXLcXXp0,Pollería & Restaurant Aron,Restaurante,"Av. Argentina, Cangallo 05401",990 302 032,+51 990 302 032,,,"-13.6294673,-74.14392769999999",,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJeauKnoP5EpEReKodFDsJTSE,https://www.google.com/maps/place/?q=place_id:ChIJeauKnoP5EpEReKodFDsJTSE,Polleria Chifa Don Teo,Restaurante,"Av. Argentina, Cangallo 05401",,,,,"-13.628297499999999,-74.14450049999999",3.5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJ9ZaYFwd9EpER1wrBVTZ0CoQ,https://www.google.com/maps/place/?q=place_id:ChIJ9ZaYFwd9EpER1wrBVTZ0CoQ,Pollería Perlaschallay,Restaurante peruano,"Jr. Garcilazo de la Vega 588, Ayacucho 05001",999 037 474,+51 999 037 474,facebook.com,https://www.facebook.com/PerlaschallayOficial/,"-13.1551303,-74.2263792",,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJD_Yfgrd9EpERfehGSY4y0AE,https://www.google.com/maps/place/?q=place_id:ChIJD_Yfgrd9EpERfehGSY4y0AE,"El Encanto de Mar Oriental ""Especialidad Pescados & Mariscos, Comida Oriental y Pollos a la Brasa""",Restaurante,"Jr. mariscal Cáceres s/n, Cangallo 05401",974 501 034,+51 974 501 034,,,"-13.628653499999999,-74.14460129999999",,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJO7wcEhXHBZERjLBZP_jNccU,https://www.google.com/maps/place/?q=place_id:ChIJO7wcEhXHBZERjLBZP_jNccU,Wilos chicken shuls,Restaurante especializado en pollo,"A.h maria parado de bellido M DLT 4 Sct. 7, Ate 15494",943 225 583,+51 943 225 583,,,"-12.0421553,-76.918363",4.6,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJcXFBYgD5EpERdH13WkN9KrI,https://www.google.com/maps/place/?q=place_id:ChIJcXFBYgD5EpERdH13WkN9KrI,Pollería chifa de nelson,Restaurante chino,"9VC4+H2, Jirón Mariscal Andrés Avelino Cáceres Mz.Y - Lt.27, Cangallo 05401",974 501 034,+51 974 501 034,,,"-13.6285896,-74.1449671",5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJf9oC_m_3EpER8AH9gsQV7zM,https://www.google.com/maps/place/?q=place_id:ChIJf9oC_m_3EpER8AH9gsQV7zM,Pollería Apocento,Restaurante,24 de junio,993 560 899,+51 993 560 899,,,"-13.556830399999999,-74.1954397",4.7,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJmbxVksj3EpER_10f56GiopA,https://www.google.com/maps/place/?q=place_id:ChIJmbxVksj3EpER_10f56GiopA,Pollos a la brasa La casita de leo,Restaurante,"CRV3+768, Pampa Cangallo 05846",910 418 053,+51 910 418 053,,,"-13.5568406,-74.1970736",3.5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJBQntC0d_EpERmgWUkY53ftw,https://www.google.com/maps/place/?q=place_id:ChIJBQntC0d_EpERmgWUkY53ftw,"Pollería ""El Dorado"" Terminal",Restaurante,"AA. HH. Las Rosas Manzana A Lote 06, Ayacucho 05000",976 127 378,+51 976 127 378,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Terminal-105063331203217,"-13.1346555,-74.228884",3.5,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de María Parado de Bellido, Cangallo, Ayacucho, Perú"
